Year,Starfsgrein,Value
2015,Geislafræðingar,2358.0
2016,Geislafræðingar,2366.0
2017,Geislafræðingar,2370.0
2018,Geislafræðingar,2204.0
1981,Félagsráðgjafar,8599.0
1982,Félagsráðgjafar,7598.0
1983,Félagsráðgjafar,7012.0
1984,Félagsráðgjafar,6874.0
1985,Félagsráðgjafar,7339.0
1986,Félagsráðgjafar,7630.0
1987,Félagsráðgjafar,6691.0
1988,Félagsráðgjafar,6459.0
1989,Félagsráðgjafar,6507.0
1990,Félagsráðgjafar,5950.0
1991,Félagsráðgjafar,5646.0
1992,Félagsráðgjafar,5355.0
1993,Félagsráðgjafar,5762.0
1994,Félagsráðgjafar,5340.0
1995,Félagsráðgjafar,
1996,Félagsráðgjafar,
1997,Félagsráðgjafar,3537.0
1998,Félagsráðgjafar,3535.0
1999,Félagsráðgjafar,3322.0
2000,Félagsráðgjafar,2673.0
2001,Félagsráðgjafar,2349.0
2002,Félagsráðgjafar,2345.0
2003,Félagsráðgjafar,
2004,Félagsráðgjafar,
2005,Félagsráðgjafar,
2006,Félagsráðgjafar,
2007,Félagsráðgjafar,1052.0
2008,Félagsráðgjafar,965.0
2009,Félagsráðgjafar,892.0
2010,Félagsráðgjafar,808.0
2011,Félagsráðgjafar,845.0
2012,Félagsráðgjafar,840.0
2013,Félagsráðgjafar,779.0
2014,Félagsráðgjafar,758.0
2015,Félagsráðgjafar,729.0
2016,Félagsráðgjafar,745.0
2017,Félagsráðgjafar,754.0
2018,Félagsráðgjafar,732.0
